TEN DON VI,HE THONG,SYSTEM CODE,KA,SUP,SALE,PG,QUAN,VUNG MIEN,TINH/THANH,NAM,THANG
THIEU NHI MOI NOWZONE,THIEU NHI MOI,TNM_NOWZONE,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI PANDORA TAN BINH,THIEU NHI MOI,TNM_PANDORA,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI PARKSON TAN BINH,THIEU NHI MOI,TNM_PARKSON,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI SAI GON CENTER,THIEU NHI MOI,TNM_CENTERLL,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI SATRA PHAM HUNG,THIEU NHI MOI,TNM_SATRAPH,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI VINCOM AN GIANG,THIEU NHI MOI,TNM_VINAG,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,AN GIANG,DONG BANG SONG CUU LONG,2024,12
THIEU NHI MOI VINCOM BA TRIEU,THIEU NHI MOI,TNM_VINBTRIEU,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
THIEU NHI MOI VINCOM BAC NINH,THIEU NHI MOI,TNM_VINBNINH,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,BAC NINH,DONG BANG SONG HONG,2024,12
THIEU NHI MOI VINCOM BAC TU LIEM,THIEU NHI MOI,TNM_VINBTLIEM,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
THIEU NHI MOI VINCOM BIEN HOA,THIEU NHI MOI,TNM_VINBHOA,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,DONG NAI,MIEN DONG NAM BO,2024,12
THIEU NHI MOI VINCOM CAN THO,THIEU NHI MOI,TNM_VINCT,KA HCM2,LU DIEU QUANG,"""NO SALE""","""NO PG""",,CAN THO,MIEN TAY,2024,12
THIEU NHI MOI VINCOM DA NANG,THIEU NHI MOI,TNM_VINDN,KA HCM2,LU DIEU QUANG,"""NO SALE""","""NO PG""",,DA NANG,MIEN TRUNG,2024,12
THIEU NHI MOI VINCOM DONG KHOI,THIEU NHI MOI,TNM_VINDK,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI VINCOM HAI PHONG,THIEU NHI MOI,TNM_VINHPHONG,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HAI PHONG,MIEN BAC,2024,12
THIEU NHI MOI VINCOM LONG AN,THIEU NHI MOI,TNM_VINLAN,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,LONG AN,DONG BANG SONG CUU LONG,2024,12
THIEU NHI MOI VINCOM LONG BIEN,THIEU NHI MOI,,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
THIEU NHI MOI VINCOM NAM LONG,THIEU NHI MOI,TNM_VINNL,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI VINCOM NGUYEN CHI THANH,THIEU NHI MOI,TNM_VINNCT,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
THIEU NHI MOI VINCOM ROYAL PLAZA,THIEU NHI MOI,TNM_VINROYAL,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
THIEU NHI MOI VINCOM THAO DIEN,THIEU NHI MOI,TNM_VINTD,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI VINCOM TIMES CITY,THIEU NHI MOI,TNM_TIMESCITY,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
THIEU NHI MOI VINCOM TRAN DUY HUNG,THIEU NHI MOI,TNM_VINTDH,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
THIEU NHI MOI VINCOM VIET TRI,THIEU NHI MOI,TNM_VIN_VTRI,KA HCM2,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
THIEU NHI MOI VINH CENTER,THIEU NHI MOI,TNM_VINH,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,NGHE AN,MIEN BAC TRUNG BO,2024,12
THIEU NHI MOI VINMART CAN THO,THIEU NHI MOI,TNM_VINCTHO,KA HCM2,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
THIEU NHI MOI VINMART LE VAN VIET,THIEU NHI MOI,TNM_VINLVV,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI VINMART QUANG TRUNG,THIEU NHI MOI,TNM_VINQT,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
THIEU NHI MOI VINMART THU DUC,THIEU NHI MOI,TNM_VINTDUC,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
US MART GIGA MALL,US MART,US_GIGA,KA HCM1,VACANCY,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
US MART NGUYEN DUC CANH,US MART,US_NDC,KA HCM1,VACANCY,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
US MART TRAN HUNG DAO,US MART,US_THD,KA HCM1,VACANCY,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VIMART NGHE AN,VINMART,VIN_NAN,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART 3 THANG 2,VINMART,VIN_MX3/2,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART ADAYROI,VINMART,VIN_ADROI,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART BAC NINH,VINMART,VIN_BNINH,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,BAC NINH,,2024,12
VINMART BAU CAT,VINMART,VIN_CTYBCAT,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART BIEN HOA,VINMART,VIN_BHOA,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
VINMART BINH DUONG,VINMART,VIN_BDUONG,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART BINH TRUNG,VINMART,VIN_CTYBTRUNG,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART CAN THO,VINMART,VIN_CTHO,KA HCM2,LU DIEU QUANG,HUYNH NGOC HIEU,"""NO PG""",,,,2024,12
VINMART CONG HOA,VINMART,VIN_MXCH,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART DIAMOND,VINMART,VIN_CTYDIAMOND,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART DONG KHOI,VINMART,VIN_CTYDK,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART HA TINH,VINMART,VIN_KHO_HTINH,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART HAI PHONG,VINMART,VIN_HPHONG,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART HUNG GIA,VINMART,VIN_CTYPVN,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART HUNG YEN,VINMART,VIN_KHO_HYEN,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART KHANH HOA,VINMART,VIN_KHOA,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART KHO BAC NINH,VINMART,VIN_KHO_BNINH,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,BAC NINH,DONG BANG SONG HONG,2024,12
VINMART KHO BINH DUONG,VINMART,VIN_CTY,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2024,12
VINMART KHO BINH DUONG,VINMART,VIN_KHO_BDUONG,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2024,12
VINMART KHO DA NANG,VINMART,VIN_KHO_DNANG,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,DA NANG,MIEN TRUNG,2024,12
VINMART LANDMARK 81,VINMART,VIN_CTYLAND,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART LE VAN VIET,VINMART,VIN_CTYLVV,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART LONG BIEN,VINMART,VIN_LBIEN,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,HA NOI,MIEN BAC,2024,12
VINMART NAM LONG,VINMART,VIN_CTYNL,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART NGUY DUY TRINH,VINMART,VIN_CTYNDT,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART NGUYEN XI,VINMART,VIN_CTYSGRES,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART NHA TRANG,VINMART,VIN_NTRANG,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,NHA TRANG,MIEN TRUNG,2024,12
VINMART NINH BINH,VINMART,VIN_NBINH,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART NINH THUAN,VINMART,VIN_NTHUAN,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,MIEN DONG,MIEN DONG,2024,12
VINMART PHAN VAN TRI,VINMART,VIN_CTYPVT,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART BINH PHUOC,VINMART,VIN_BPHUOC,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART BA RIA VUNG TAU,VINMART,VIN_BRVT,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART GIA LAI,VINMART,VIN_GLAI,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART KONTUM,VINMART,VIN_KTUM,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART SOC TRANG,VINMART,VIN_STRANG,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART TAY NINH,VINMART,VIN_TNINH,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART BINH DINH,VINMART,VIN_BDINH,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART PHO QUANG,VINMART,VIN_CTYPQUANG,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART QUANG NINH,VINMART,VIN_QNINH,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
VINMART QUANG TRUNG,VINMART,VIN_CTYQT,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART THAO DIEN,VINMART,VIN_CTYTDIEN,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART THU DUC,VINMART,VIN_CTYTDUC,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART VINH LONG,VINMART,VIN_KHO_VLONG,VACANCY,LU DIEU QUANG,"""NO SALE""","""NO PG""",,VINH LONG,MIEN DONG,2024,12
VINMART+ CẦNTHƠ(2572/46),VINMART+,VIN+CTHO,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,CAN THO,MIEN TAY,2024,12
VINMART+ ĐÀ NẴNG(1127/171),VINMART+,VIN+DNANG,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,DA NANG,MIEN TRUNG,2024,12
VINMART+ ĐỒNG NAI(2572/60),VINMART+,VIN+DNAI,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,DONG NAI,MIEN DONG NAM BO,2024,12
VINMART+ GRAND RIVERSIDE,VINMART+,VIN_CTYBVD,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
VINMART+ KHO BAC NINH,VINMART+,VIN_KHO_BNINH+,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,BAC NINH,DONG BANG SONG HONG,2024,12
VINMART+ KHO BINH DUONG,VINMART+,VIN_KHO_BDUONG+,MANAGER,LU DIEU QUANG,NO SALE,"""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2024,12
VINMART+ KHO BINH DUONG,VINMART+,VIN_CTY1,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2024,12
VINMART+ KHO DA NANG,VINMART+,VIN_KHO_DNANG+,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,DA NANG,MIEN TRUNG,2024,12
VINMART+ NHA TRANG(2572/26),VINMART+,VIN+NTRANG,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,NHA TRANG,DUYEN HAI NAM TRUNG BO,2024,12
VINMART+ TP HCM1(2572/521),VINMART+,VIN+TPHCM1,MANAGER,LU DIEU QUANG,NO SALE,"""NO PG""",,TP HCM,HCM,2024,12
VINMART+ TP HCM2(1127/404),VINMART+,VIN+TPHCM2,MANAGER,LU DIEU QUANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
WELLNESS BINH DUONG,WELLNESS,AEON_W_BDUONG_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2024,12
WELLNESS BINH TAN,WELLNESS,AEON_W_BTAN_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
WELLNESS GIGA MALL,WELLNESS,AEON_W_GIGA_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
WELLNESS HA DONG,WELLNESS,AEON_W_HDONG_RDC,KA HCM1,LE NAM PHUONG,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2024,12
WELLNESS HAI PHONG,WELLNESS,AEON_W_HPHONG_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,HAI PHONG,MIEN BAC,2024,12
WELLNESS LONG BIEN,WELLNESS,AEON_W_LBIEN_RDC,KA HCM1,LE NAM PHUONG,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2024,12
WELLNESS TAN PHU,WELLNESS,AEON_W_TPHU_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
WELLNESS VAN HANH MALL,WELLNESS,AEON_VHANH_RDC,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2024,12
COOPFOOD PHAM THE HIEN,COOP FOOD,COOP_F_PTHIEN,KA HCM3,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
A STORE AN GIANG,A STORE,6322,KA HCM3,VACANCY,VACANCY,"""NO PG""",,AN GIANG,DONG BANG SONG CUU LONG,2022,12
AB BEAUTY WORLD,ABBW,AB_PART,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
AB BEAUTY WORLD LE DAI HANH,ABBW,AB_LDH,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
AB BEAUTY WORLD LE VAN SY,ABBW,AB_LVS,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
AB BEAUTY WORLD LUY BAN BICH,ABBW,AB_LBB,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
AB BEAUTY WORLD MA LO,ABBW,AB_MALO,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
AB BEAUTY WORLD NGUYEN THI THAP,ABBW,AB_NTTHAP,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
AB BEAUTY WORLD PHAN DANG LUU,ABBW,AB_PDL,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
ACE SONG HANH,ACE,ACE_SH,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,HCM,2022,12
ACE SU VAN HANH,ACE,ACE_SVH,KA HCM1,PHAM VAN PHU,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2022,12
AEON BINH DUONG,AEON,AEON_BDUONG_RDC,KA HCM1,PHAM VAN PHU,VACANCY - PHU,NGUYEN THI NGOC DIEP,,BINH DUONG,MIEN DONG NAM BO,2022,12
AEON BINH TAN,AEON,AEON_BTAN_RDC,KA HCM1,PHAM VAN PHU,VACANCY - PHU,NGUYEN DOAN PHUONG THUY ANH,,TP HCM,HCM,2022,12
AEON CITI B&B CONIC,AEON CITI,CITI_CONIC,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI BCA QUAN 2,AEON CITI,CITI_BCAN,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI BINH DUONG,AEON CITI,CITI_BDUONG,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2022,12
AEON CITI BINH TAN,AEON CITI,CITI_BTAN,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI CAO THANG,AEON CITI,CITI_CTHANG,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI ECOPARK,AEON CITI,CITI_ECP,KA HCM2,NGUYEN THI QUY HANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2022,12
AEON CITI GARDEN PLAZA,AEON CITI,CITI_PLA,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI GREEN VIEW,AEON CITI,CITI_NLB,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI HA NOI TOWER,AEON CITI,CITI_TOW,KA HCM2,NGUYEN THI QUY HANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2022,12
AEON CITI HIM LAM QUAN 6,AEON CITI,CITI_HLAM6,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI HIM LAM QUAN 7,AEON CITI,CITI_HLAM7,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI HUNG VUONG,AEON CITI,CITI_HVUONG,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI INDOCHINA,AEON CITI,CITI_IND,KA HCM2,NGUYEN THI QUY HANG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2022,12
AEON CITI KHO PHAN PHOI SI MIEN NAM,AEON CITI,CITI_KHO,KA HCM2,NGUYEN THI QUY HANG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2022,12
AEON CITI NAM LONG,AEON CITI,CITI_NLONG,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI NEW SAI GON,AEON CITI,CITI_NEWSG,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI NHA TRANG,AEON CITI,CITI_NTRANG,KA HCM2,NGUYEN THI QUY HANG,TRAN THANH TUAN,"""NO PG""",,NHA TRANG,DUYEN HAI NAM TRUNG BO,2022,12
AEON CITI NHA TRANG 2,AEON CITI,CITI_NTRANG2,KA HCM2,NGUYEN THI QUY HANG,TRAN THANH TUAN,"""NO PG""",,NHA TRANG,DUYEN HAI NAM TRUNG BO,2022,12
AEON CITI PARKSON QUAN 5,AEON CITI,CITI_PAR5,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI PHUC YEN,AEON CITI,CITI_PYEN,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI RES 11,AEON CITI,CITI_RES11,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI SOMMERSET,AEON CITI,CITI_NTMK,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI SUNRISE CITY,AEON CITI,CITI_SUNRISE,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON CITI TROPIC QUAN 2,AEON CITI,CITI_TROPIC,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AEON HA DONG,AEON,AEON_HDONG_RDC,KA HCM1,PHAM VAN PHU,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2022,12
AEON HAI PHONG,AEON,AEON_HPHONG_RDC,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,HAI PHONG,MIEN BAC,2022,12
AEON LONG BIEN,AEON,AEON_LBIEN_RDC,KA HCM1,PHAM VAN PHU,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2022,12
AEON NEWTON,AEON,AEON_GBNEWTON_RDC,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,HAI PHONG,MIEN BAC,2022,12
AEON TAN PHU,AEON,AEON_TPHU_RDC,KA HCM1,PHAM VAN PHU,VU THUY MINH THAO,DU NGOC TAM THANH,,TP HCM,HCM,2022,12
AN NAM HAI BA TRUNG,AN NAM,SD_HBT,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AN NAM LANDMART 81,AN NAM,SD_LAND81,KA HCM3+D285:J285,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AN NAM LE LOI,AN NAM,SD_LLOI,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AN NAM NGUYEN DUC CANH,AN NAM,SD_NDC,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AN NAM NGUYEN HUU CANH,AN NAM,SD_NHC,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AN NAM NGUYEN VAN TROI,AN NAM,SD_NVT,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2022,12
AN NAM SONG HANH,AN NAM,SD_SH,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AN NAM TERACE,AN NAM,SD_TERRACE,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2022,12
AN NAM THAO DIEN,AN NAM,SD_TDIEN,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2022,12
AN NAM THU DUC,AN NAM,SD_TDUC,KA HCM2,NGUYEN THI QUY HANG,TRAN THI THAO NGUYEN,"""NO PG""",,,,2022,12
BACH HOA XANH AN KHANG,BHX,BHX_ANKHANG,KA HCM1,PHAM VAN PHU,"""NO SALE""","""NO PG""",,TP HCM,,2022,12
BACH HOA XANH BAC LIEU,BHX,BHX_7085_BLI,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN TAY,,2022,12
BACH HOA XANH BEN TRE,BHX,BHX_7000_BTRE,KA HCM4,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN TAY,,2022,12
BACH HOA XANH BUON ME THUOT,BHX,BHX_6450_BMT,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN TAY,,2022,12
BACH HOA XANH CAN DUOC,BHX,BHX_7234_CDUOC,KA HCM5,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN TAY,,2022,12
BACH HOA XANH CHAU THANH A,BHX,BHX_5060_CTHANHA,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN TAY,,2022,12
BACH HOA XANH DIEN KHANH,BHX,BHX_7200_DKHANH,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN TAY,,2022,12
BACH HOA XANH DONG PHU,BHX,BHX_7866_DPHU,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TP HCM,,2022,12
BACH HOA XANH DUC HOA,BHX,BHX_10864_ONLDHOA,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,,,2022,12
BACH HOA XANH DUC TRONG,BHX,BHX_8030_DTRONG,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN DONG,,2022,12
BACH HOA XANH GO VAP,BHX,BHX_8681_GVAP,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,TPHCM,,2022,12
BACH HOA XANH HAM THUAN,BHX,BHX_7211_HTA,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN TAY,,2022,12
BACH HOA XANH HOA THANH,BHX,BHX_6960_HTHANH,KA HCM1,PHAM VAN PHU,VACANCY - PHU,"""NO PG""",,MIEN DONG,MIEN DONG NAM BO,2022,12
BACH HOA XANH KHO LONG BINH,BHX,BHX_4089_LBINH,KA HCM1,PHAM VAN PHU,TRAN THI NHAN,"""NO PG""",,DONG NAI,MIEN DONG NAM BO,2022,12
BACH HOA XANH KHO NHA BE,BHX,BHX_6655_NHBE,KA HCM1,PHAM VAN PHU,LE NHAT TAN,"""NO PG""",,TP HCM,HCM,2022,12
